train_start,train_end,test_start,test_end,accuracy,cumulative_return,trades,correct_predictions
1981-02-24,1983-02-11,1983-02-14,1983-07-07,0.61,0.2377511844361031,100,61
1981-07-17,1983-07-07,1983-07-08,1983-11-28,0.47,-0.3819617901915247,100,47
1981-12-08,1983-11-28,1983-11-29,1984-04-19,0.47,0.32278284398972606,100,47
1982-05-03,1984-04-19,1984-04-23,1984-09-12,0.61,0.0887173056518966,100,61
1982-09-23,1984-09-12,1984-09-13,1985-02-04,0.5,-0.08972315177330437,100,50
1983-02-14,1985-02-04,1985-02-05,1985-06-27,0.49,-0.007359318920203575,100,49
1983-07-08,1985-06-27,1985-06-28,1985-11-19,0.4,-0.31026608908165293,100,40
1983-11-29,1985-11-19,1985-11-20,1986-04-15,0.51,0.005351417848872594,100,51
1984-04-23,1986-04-15,1986-04-16,1986-09-05,0.53,-0.006755839504862661,100,53
1984-09-13,1986-09-05,1986-09-08,1987-01-28,0.54,0.05249382188916479,100,54
1985-02-05,1987-01-28,1987-01-29,1987-06-22,0.62,0.5940073120433129,100,62
1985-06-28,1987-06-22,1987-06-23,1987-11-11,0.56,0.20323687815218783,100,56
1985-11-20,1987-11-11,1987-11-12,1988-04-06,0.49,0.05673605951732754,100,49
1986-04-16,1988-04-06,1988-04-07,1988-08-26,0.66,0.12044088671220088,100,66
1986-09-08,1988-08-26,1988-08-29,1989-01-19,0.44,0.0104122039968567,100,44
1987-01-29,1989-01-19,1989-01-20,1989-06-13,0.45,0.03967076126426909,100,45
1987-06-23,1989-06-13,1989-06-14,1989-11-02,0.52,0.019888162915548766,100,52
1987-11-12,1989-11-02,1989-11-03,1990-03-28,0.56,-0.03617392024874784,100,56
1988-04-07,1990-03-28,1990-03-29,1990-08-20,0.64,0.081606027898139,100,64
1988-08-29,1990-08-20,1990-08-21,1991-01-11,0.54,-0.48293541747406865,100,54
1989-01-20,1991-01-11,1991-01-14,1991-06-05,0.47,0.015209806192278633,100,47
1989-06-14,1991-06-05,1991-06-06,1991-10-25,0.47,-0.004655506485327726,100,47
1989-11-03,1991-10-25,1991-10-28,1992-03-19,0.55,0.1388798044381176,100,55
1990-03-29,1992-03-19,1992-03-20,1992-08-11,0.5,0.05076550799530648,100,50
1990-08-21,1992-08-11,1992-08-12,1993-01-04,0.49,-0.09412041224688886,100,49
1991-01-14,1993-01-04,1993-01-05,1993-05-26,0.52,0.1723854815483662,100,52
1991-06-06,1993-05-26,1993-05-27,1993-10-18,0.44,-0.5223471598020872,100,44
1991-10-28,1993-10-18,1993-10-19,1994-03-10,0.51,-0.05488042228721266,100,51
1992-03-20,1994-03-10,1994-03-11,1994-08-03,0.52,0.07325274349823682,100,52
1992-08-12,1994-08-03,1994-08-04,1994-12-23,0.47,0.04160400886315979,100,47
1993-01-05,1994-12-23,1994-12-27,1995-05-18,0.54,0.03373009778180604,100,54
1993-05-27,1995-05-18,1995-05-19,1995-10-10,0.52,0.0277168898455682,100,52
1993-10-19,1995-10-10,1995-10-11,1996-03-04,0.56,-0.027221088970587656,100,56
1994-03-11,1996-03-04,1996-03-05,1996-07-25,0.43,-0.06943711100825545,100,43
1994-08-04,1996-07-25,1996-07-26,1996-12-16,0.62,-0.22217854764211714,100,62
1994-12-27,1996-12-16,1996-12-17,1997-05-09,0.47,-0.4188752029740854,100,47
1995-05-19,1997-05-09,1997-05-12,1997-10-01,0.47,0.2510904336899422,100,47
1995-10-11,1997-10-01,1997-10-02,1998-02-25,0.41,-0.255800439637238,100,41
1996-03-05,1998-02-25,1998-02-26,1998-07-20,0.46,-0.008263075729613488,100,46
1996-07-26,1998-07-20,1998-07-21,1998-12-09,0.52,-0.038471616699051775,100,52
