train_start,train_end,test_start,test_end,accuracy,cumulative_return,trades,correct_predictions
1981-02-24,1983-02-11,1983-02-14,1983-07-07,0.62,0.1638325291592153,100,62
1981-07-17,1983-07-07,1983-07-08,1983-11-28,0.5,-0.30752927778907113,100,50
1981-12-08,1983-11-28,1983-11-29,1984-04-19,0.43,0.01941725585432158,100,43
1982-05-03,1984-04-19,1984-04-23,1984-09-12,0.58,-0.09871735358591685,100,58
1982-09-23,1984-09-12,1984-09-13,1985-02-04,0.48,-0.11325033974533458,100,48
1983-02-14,1985-02-04,1985-02-05,1985-06-27,0.5,-0.08661319409276436,100,50
1983-07-08,1985-06-27,1985-06-28,1985-11-19,0.42,-0.264740841281428,100,42
1983-11-29,1985-11-19,1985-11-20,1986-04-15,0.48,-0.0096191856992551,100,48
1984-04-23,1986-04-15,1986-04-16,1986-09-05,0.51,0.0,100,51
1984-09-13,1986-09-05,1986-09-08,1987-01-28,0.52,-0.08602760850692795,100,52
1985-02-05,1987-01-28,1987-01-29,1987-06-22,0.54,0.418107512878879,100,54
1985-06-28,1987-06-22,1987-06-23,1987-11-11,0.55,0.21401048983090887,100,55
1985-11-20,1987-11-11,1987-11-12,1988-04-06,0.52,0.12503494049817845,100,52
1986-04-16,1988-04-06,1988-04-07,1988-08-26,0.63,0.094790373527785,100,63
1986-09-08,1988-08-26,1988-08-29,1989-01-19,0.47,0.004351245703127459,100,47
1987-01-29,1989-01-19,1989-01-20,1989-06-13,0.45,0.12061675615550078,100,45
1987-06-23,1989-06-13,1989-06-14,1989-11-02,0.54,0.08677670729485251,100,54
1987-11-12,1989-11-02,1989-11-03,1990-03-28,0.55,-0.12985373260466984,100,55
1988-04-07,1990-03-28,1990-03-29,1990-08-20,0.63,0.06727034283758651,100,63
1988-08-29,1990-08-20,1990-08-21,1991-01-11,0.54,-0.4567507152844296,100,54
1989-01-20,1991-01-11,1991-01-14,1991-06-05,0.52,0.04121464320413942,100,52
1989-06-14,1991-06-05,1991-06-06,1991-10-25,0.46,-0.1465011192413928,100,46
1989-11-03,1991-10-25,1991-10-28,1992-03-19,0.57,0.05501215179486406,100,57
1990-03-29,1992-03-19,1992-03-20,1992-08-11,0.44,-0.030330528863092083,100,44
1990-08-21,1992-08-11,1992-08-12,1993-01-04,0.48,-0.006948147771404544,100,48
1991-01-14,1993-01-04,1993-01-05,1993-05-26,0.5,0.11871430351585831,100,50
1991-06-06,1993-05-26,1993-05-27,1993-10-18,0.47,-0.46025531000025943,100,47
1991-10-28,1993-10-18,1993-10-19,1994-03-10,0.57,-0.11978921747271905,100,57
1992-03-20,1994-03-10,1994-03-11,1994-08-03,0.48,-0.05950922612701187,100,48
1992-08-12,1994-08-03,1994-08-04,1994-12-23,0.51,0.04489046452689466,100,51
1993-01-05,1994-12-23,1994-12-27,1995-05-18,0.53,0.14235796854462157,100,53
1993-05-27,1995-05-18,1995-05-19,1995-10-10,0.53,-0.0068572833923497755,100,53
1993-10-19,1995-10-10,1995-10-11,1996-03-04,0.46,0.07629113632357418,100,46
1994-03-11,1996-03-04,1996-03-05,1996-07-25,0.43,-0.00014854256216122186,100,43
1994-08-04,1996-07-25,1996-07-26,1996-12-16,0.57,-0.28833330200426943,100,57
1994-12-27,1996-12-16,1996-12-17,1997-05-09,0.47,-0.4087745401070667,100,47
1995-05-19,1997-05-09,1997-05-12,1997-10-01,0.51,0.172561051870938,100,51
1995-10-11,1997-10-01,1997-10-02,1998-02-25,0.44,-0.5249745981224551,100,44
1996-03-05,1998-02-25,1998-02-26,1998-07-20,0.47,-0.017312238121401015,100,47
1996-07-26,1998-07-20,1998-07-21,1998-12-09,0.52,0.0,100,52
1996-12-17,1998-12-09,1998-12-10,1999-05-05,0.56,-0.02684716118695902,100,56
1997-05-12,1999-05-05,1999-05-06,1999-09-27,0.44,0.0,100,44
1997-10-02,1999-09-27,1999-09-28,2000-02-17,0.42,0.16347590462714398,100,42
1998-02-26,2000-02-17,2000-02-18,2000-07-12,0.53,0.179420423040322,100,53
1998-07-21,2000-07-12,2000-07-13,2000-12-01,0.48,-0.021654140976184594,100,48
1998-12-10,2000-12-01,2000-12-04,2001-04-27,0.51,-0.4218738280872052,100,51
1999-05-06,2001-04-27,2001-04-30,2001-09-25,0.5,0.06430305997396321,100,50
1999-09-28,2001-09-25,2001-09-26,2002-02-19,0.55,-0.1251210307061478,100,55
2000-02-18,2002-02-19,2002-02-20,2002-07-12,0.52,-0.02014855093633583,100,52
