period,train_start,train_end,test_start,test_end,train_accuracy,test_accuracy,accuracy_drop,test_return,buy_hold_return,excess_return,max_drawdown,sharpe_ratio,num_trades,win_rate
1,1981-02-24,1982-02-22,1982-02-23,1982-05-21,1.0,0.42857142857142855,0.5714285714285714,-20.833264938811922,-21.917702548220465,1.0844376094085426,-22.222043860038756,-1.62684281407982,1,0.0
2,1981-03-25,1982-03-23,1982-03-24,1982-06-22,1.0,0.4444444444444444,0.5555555555555556,-6.733815063037618,-19.54889870903984,12.815083646002222,-18.823515766263167,-0.7918338160520036,5,100.0
3,1981-04-24,1982-04-22,1982-04-23,1982-07-22,1.0,0.6507936507936508,0.3492063492063492,0.0,-6.5036793283455125,6.5036793283455125,0.0,0.0,0,0.0
4,1981-05-26,1982-05-21,1982-05-24,1982-08-20,1.0,0.42857142857142855,0.5714285714285714,5.866949058244519,2.608510350502957,3.258438707741562,-20.591001976226753,0.7710996545163679,6,33.33333333333333
5,1981-06-24,1982-06-22,1982-06-23,1982-09-21,1.0,0.49206349206349204,0.5079365079365079,20.794672068091092,32.72678019254591,-11.932108124454817,-13.72627667794144,2.688135908971835,4,100.0
6,1981-07-24,1982-07-22,1982-07-23,1982-10-20,1.0,0.4126984126984127,0.5873015873015873,10.678786959416309,79.6457094719849,-68.96692251256859,-4.8540285872442475,2.1254814636795167,2,100.0
7,1981-08-24,1982-08-20,1982-08-23,1982-11-18,1.0,0.38095238095238093,0.6190476190476191,0.0,104.06630181189102,-104.06630181189102,0.0,0.0,0,0.0
8,1981-09-23,1982-09-21,1982-09-22,1982-12-20,1.0,0.4603174603174603,0.5396825396825398,20.689552254906985,60.001230524944035,-39.31167827003705,-0.6802541728009711,3.572061197296742,2,100.0
9,1981-10-22,1982-10-20,1982-10-21,1983-01-19,1.0,0.47619047619047616,0.5238095238095238,8.654175649610885,29.32771660653064,-20.673540956919755,-16.605399937764865,0.9034818100237815,2,100.0
10,1981-11-20,1982-11-18,1982-11-19,1983-02-17,1.0,0.49206349206349204,0.5079365079365079,0.0,42.51025871227965,-42.51025871227965,0.0,0.0,0,0.0
11,1981-12-22,1982-12-20,1982-12-21,1983-03-21,1.0,0.5555555555555556,0.4444444444444444,19.448154252330994,45.45443707335559,-26.006282821024598,-9.091089943858508,2.753537537647234,4,100.0
12,1982-01-22,1983-01-19,1983-01-20,1983-04-20,1.0,0.47619047619047616,0.5238095238095238,0.0,35.45094069208232,-35.45094069208232,0.0,0.0,0,0.0
13,1982-02-23,1983-02-17,1983-02-18,1983-05-19,1.0,0.5714285714285714,0.4285714285714286,14.41462886156022,19.283551846923853,-4.868922985363634,-18.182071805376594,1.664676482789074,3,100.0
14,1982-03-24,1983-03-21,1983-03-22,1983-06-20,1.0,0.5079365079365079,0.4920634920634921,13.76363624824184,19.94353391016681,-6.17989766192497,-11.51712949559862,1.9132314100369132,2,100.0
15,1982-04-23,1983-04-20,1983-04-21,1983-07-20,1.0,0.5079365079365079,0.4920634920634921,6.009665901464145,-20.673003367331376,26.68266926879552,-6.730760633866158,1.146607541858049,3,100.0
16,1982-05-24,1983-05-19,1983-05-20,1983-08-18,1.0,0.4603174603174603,0.5396825396825398,-41.35387625965935,-41.0986608356677,-0.2552154239916504,-47.211355744294345,-4.303712435402291,3,100.0
17,1982-06-23,1983-06-20,1983-06-21,1983-09-19,1.0,0.4126984126984127,0.5873015873015873,-38.522104983815794,-40.46511216195536,1.9430071781395668,-45.221519477092166,-2.6185848174655786,3,100.0
18,1982-07-23,1983-07-20,1983-07-21,1983-10-18,1.0,0.38095238095238093,0.6190476190476191,-50.478916948489264,-55.33106925915251,4.852152310663243,-50.79329504382747,-2.8193271543764746,1,0.0
19,1982-08-23,1983-08-18,1983-08-19,1983-11-16,1.0,0.4126984126984127,0.5873015873015873,-34.96451448570448,-40.740714515518796,5.776200029814319,-48.37556576644321,-1.3152144090345057,3,100.0
20,1982-09-22,1983-09-19,1983-09-20,1983-12-16,1.0,0.49206349206349204,0.5079365079365079,2.0616954264260245,-22.957197154186517,25.01889258061254,-28.14075192645457,0.47187620415547615,1,0.0
21,1982-10-21,1983-10-18,1983-10-19,1984-01-18,1.0,0.6031746031746031,0.39682539682539686,68.46944791168855,33.72097018175495,34.7484777299336,-7.557589763436642,5.474227820908461,7,100.0
22,1982-11-19,1983-11-16,1983-11-17,1984-02-16,1.0,0.47619047619047616,0.5238095238095238,10.75134644329192,23.780074366052006,-13.028727922760085,-11.004138752533123,1.4538354469831194,3,100.0
23,1982-12-21,1983-12-16,1983-12-19,1984-03-19,1.0,0.4444444444444444,0.5555555555555556,-8.217725066958103,9.375338608282725,-17.593063675240828,-11.004138752533127,-1.2718063383682023,4,0.0
24,1983-01-20,1984-01-18,1984-01-19,1984-04-17,1.0,0.42857142857142855,0.5714285714285714,1.307926525624148,-5.172109096158561,6.480035621782709,-19.480091301230633,0.33335457024710347,4,50.0
25,1983-02-18,1984-02-16,1984-02-17,1984-05-17,1.0,0.5396825396825397,0.46031746031746035,18.431441476529777,16.49987864247464,1.9315628340551356,-9.361805564116422,2.719044660461595,8,75.0
26,1983-03-22,1984-03-19,1984-03-20,1984-06-18,1.0,0.5555555555555556,0.4444444444444444,11.111322755911445,13.942317695288086,-2.830994939376641,-5.9996414456502185,2.2764552960897046,2,100.0
