period,train_start,train_end,test_start,test_end,train_accuracy,test_accuracy,accuracy_drop,test_return,buy_hold_return,excess_return,max_drawdown,sharpe_ratio,num_trades,win_rate
1,2023-08-29,2024-02-20,2024-02-21,2024-04-03,1.0,0.43333333333333335,0.5666666666666667,-6.9493321262737435,-6.949332126273755,1.1546319456101628e-14,-8.423293332793776,-2.770907109105033,1,0.0
2,2023-09-13,2024-03-05,2024-03-06,2024-04-17,1.0,0.5333333333333333,0.4666666666666667,3.5113134545466274,-0.6622454640647035,4.173558918611331,-4.842828701661597,1.5682870370889206,7,66.66666666666666
3,2023-09-27,2024-03-19,2024-03-20,2024-05-01,1.0,0.43333333333333335,0.5666666666666667,-5.244313398732848,-5.244313398732848,0.0,-7.650992445587799,-1.7442237752589371,1,0.0
4,2023-10-11,2024-04-03,2024-04-04,2024-05-15,1.0,0.5,0.5,2.542174706406186,12.532467987121642,-9.990293280715456,-1.6225249445243752,2.6128592089377527,9,50.0
5,2023-10-25,2024-04-17,2024-04-18,2024-05-30,1.0,0.43333333333333335,0.5666666666666667,2.9610547048133817,14.672814641035714,-11.711759936222332,0.0,3.9074602204092783,8,100.0
6,2023-11-08,2024-05-01,2024-05-02,2024-06-13,1.0,0.43333333333333335,0.5666666666666667,4.69707606580807,23.98463787677707,-19.287561810969002,0.0,5.838308127066628,8,100.0
7,2023-11-22,2024-05-15,2024-05-16,2024-06-28,1.0,0.6333333333333333,0.3666666666666667,9.133034863194656,10.946052878194346,-1.81301801499969,-4.236844067740479,3.118952020771452,13,83.33333333333334
8,2023-12-07,2024-05-30,2024-05-31,2024-07-15,1.0,0.7,0.30000000000000004,21.924568810160384,21.92456881016036,2.4868995751603507e-14,-4.236844067740483,5.826782211765084,1,0.0
9,2023-12-21,2024-06-13,2024-06-14,2024-07-29,1.0,0.6333333333333333,0.3666666666666667,0.7246144042990954,2.7060178757241315,-1.9814034714250361,-7.380119861369286,0.37807166858251684,1,0.0
10,2024-01-08,2024-06-28,2024-07-01,2024-08-12,1.0,0.6666666666666666,0.33333333333333337,2.301976386975779,0.4760303292958623,1.825946057679917,-5.744580444374921,1.1196961266234926,9,75.0
11,2024-01-23,2024-07-15,2024-07-16,2024-08-26,1.0,0.5333333333333333,0.4666666666666667,-3.723600998853327,-3.1415772086999194,-0.5820237901534075,-10.246003249687947,-1.3386162720263854,5,50.0
12,2024-02-06,2024-07-29,2024-07-30,2024-09-10,1.0,0.5333333333333333,0.4666666666666667,0.713280213388745,0.7151500119460197,-0.001869798557274649,-5.744580444374909,0.3945007317223221,3,100.0
13,2024-02-21,2024-08-12,2024-08-13,2024-09-24,1.0,0.5,0.5,2.7568040538239913,2.7568040538240135,-2.220446049250313e-14,-5.861862575854105,1.2995429578014772,1,0.0
14,2024-03-06,2024-08-26,2024-08-27,2024-10-08,1.0,0.4,0.6,-3.7944615302917373,-0.9910939073430103,-2.803367622948727,-6.256573279893727,-2.179637554685358,10,20.0
15,2024-03-20,2024-09-10,2024-09-11,2024-10-22,1.0,0.4666666666666667,0.5333333333333333,1.4133150252388704,5.928321123829994,-4.515006098591123,-2.7775225706871582,0.8788141097822721,10,40.0
16,2024-04-04,2024-09-24,2024-09-25,2024-11-05,1.0,0.4,0.6,-0.8397003894712873,-1.2899182043015878,0.45021781483030043,-1.7263571773189716,-1.5582191225635844,3,100.0
17,2024-04-18,2024-10-08,2024-10-09,2024-11-19,1.0,0.5333333333333333,0.4666666666666667,4.446744274812886,-0.43950013738757177,4.886244412200458,-1.4109186922565646,3.181747931586372,3,100.0
18,2024-05-02,2024-10-22,2024-10-23,2024-12-04,1.0,0.4666666666666667,0.5333333333333333,2.8943741778487464,5.424404885059286,-2.53003070721054,-2.2173472047798897,2.0237251880862033,6,66.66666666666666
19,2024-05-16,2024-11-05,2024-11-06,2024-12-18,1.0,0.3333333333333333,0.6666666666666667,0.7789425742982026,11.495560345272127,-10.716617770973924,-1.4109186922565502,0.8658763975734082,2,100.0
20,2024-05-31,2024-11-19,2024-11-20,2025-01-03,1.0,0.3333333333333333,0.6666666666666667,0.37991192407398344,6.2707475766830445,-5.890835652609061,-0.2096031239889271,1.7725969446529555,2,100.0
21,2024-06-14,2024-12-04,2024-12-05,2025-01-21,1.0,0.43333333333333335,0.5666666666666667,-4.854064171494188,-8.393679640422548,3.5396154689283597,-5.300661406095806,-2.9491587647862825,3,0.0
22,2024-07-01,2024-12-18,2024-12-19,2025-02-04,1.0,0.4666666666666667,0.5333333333333333,-2.889901104035253,-6.801712563154294,3.911811459119041,-9.576907843384264,-1.1549016565813925,16,50.0
23,2024-07-16,2025-01-03,2025-01-06,2025-02-19,1.0,0.4666666666666667,0.5333333333333333,-3.836534354277732,0.056824705149249866,-3.893359059426982,-6.295919378725079,-1.4351705401447703,9,25.0
24,2024-07-30,2025-01-21,2025-01-22,2025-03-05,1.0,0.5333333333333333,0.4666666666666667,-0.42649556866690697,5.43680126240782,-5.863296831074727,-4.858868331709672,-0.07126496877878946,6,33.33333333333333
25,2024-08-13,2025-02-04,2025-02-05,2025-03-19,1.0,0.5333333333333333,0.4666666666666667,-1.1095300854061851,-7.3099160100883465,6.200385924682161,-5.8762831948002425,-0.4573463475628373,9,75.0
