symbol,side,entry_date,exit_date,entry_price,exit_price,qty,pnl_pct,pnl_dollar,exit_reason,hold_days
DVN,long,2021-01-05,2021-01-08,12.4925,13.3867,200,0.07158,178.84,max_hold,3
NVDA,long,2021-01-05,2021-01-08,13.0536,13.3581,191,0.02333,58.16,max_hold,3
COP,long,2021-01-05,2021-01-08,33.121,36.2618,75,0.09483,235.56,max_hold,3
SLB,long,2021-01-05,2021-01-08,19.7492,21.4875,126,0.08802,219.03,max_hold,3
WMT,long,2021-01-06,2021-01-11,45.0301,46.1974,55,0.02592,64.2,max_hold,5
CRM,long,2021-01-07,2021-01-11,213.4458,214.1855,11,0.00347,8.14,max_hold,4
META,long,2021-01-07,2021-01-11,263.7171,254.2688,9,-0.03583,-85.03,max_hold,4
UNH,short,2021-01-07,2021-01-11,325.905,325.6852,7,0.00067,1.54,max_hold,4
COST,long,2021-01-08,2021-01-11,347.5005,343.2678,7,-0.01218,-29.63,max_hold,3
NVDA,long,2021-01-11,2021-01-14,13.3715,13.1682,189,-0.0152,-38.41,max_hold,3
DVN,long,2021-01-12,2021-01-15,14.2771,15.2305,177,0.06677,168.74,max_hold,3
META,long,2021-01-12,2021-01-15,254.5232,254.5363,9,5e-05,0.12,max_hold,3
ADBE,long,2021-01-12,2021-01-15,474.6472,460.9394,5,-0.02888,-68.54,max_hold,3
COST,long,2021-01-12,2021-01-15,343.6113,341.7212,7,-0.0055,-13.23,max_hold,3
MA,long,2021-01-13,2021-01-15,339.3567,317.0828,7,-0.06564,-155.92,stop_loss,2
AMD,long,2021-01-15,2021-01-19,90.7954,90.5047,27,-0.0032,-7.85,max_hold,4
JPM,short,2021-01-15,2021-01-19,120.3481,120.8104,20,-0.00384,-9.25,max_hold,4
CRM,long,2021-01-19,2021-01-19,211.7935,218.1057,11,0.0298,69.43,signal_fade,0
DVN,long,2021-01-20,2021-01-21,15.4364,13.5619,163,-0.12143,-305.54,stop_loss,1
NVDA,long,2021-01-19,2021-01-22,12.9704,13.7195,194,0.05775,145.32,max_hold,3
ADBE,long,2021-01-20,2021-01-25,462.9614,473.4931,5,0.02275,52.66,max_hold,5
V,long,2021-01-20,2021-01-25,195.09,193.6759,12,-0.00725,-16.97,max_hold,5
COST,long,2021-01-20,2021-01-25,334.5397,339.6843,7,0.01538,36.01,max_hold,5
AMD,long,2021-01-21,2021-01-25,89.3847,94.8625,28,0.06128,153.38,max_hold,4
BAC,long,2021-01-22,2021-01-25,27.507,27.5146,92,0.00027,0.7,max_hold,3
DVN,long,2021-01-22,2021-01-25,13.5755,13.4705,186,-0.00773,-19.53,max_hold,3
MRK,long,2021-01-22,2021-01-25,64.9372,65.0808,38,0.00221,5.46,max_hold,3
SLB,long,2021-01-22,2021-01-25,21.0735,21.3721,120,0.01417,35.83,max_hold,3
SLB,long,2021-01-26,2021-01-27,21.3934,19.6406,118,-0.08193,-206.83,stop_loss,1
NVDA,long,2021-01-25,2021-01-28,13.7332,13.0159,184,-0.05223,-131.98,max_hold,3
DVN,long,2021-01-26,2021-01-29,13.484,12.8,187,-0.05072,-127.9,max_hold,3
BAC,long,2021-01-26,2021-01-29,27.5421,26.1739,91,-0.04968,-124.51,max_hold,3
V,long,2021-01-26,2021-01-29,193.8696,187.3211,13,-0.03378,-85.13,max_hold,3
MRK,long,2021-01-26,2021-01-29,65.1459,62.5466,38,-0.0399,-98.78,max_hold,3
GS,long,2021-01-26,2021-01-29,249.8343,239.6778,10,-0.04065,-101.56,max_hold,3
UNH,long,2021-01-26,2021-01-29,318.9247,304.535,7,-0.04512,-100.73,max_hold,3
COP,long,2021-01-27,2021-02-01,33.7301,34.1651,74,0.0129,32.19,max_hold,5
ABBV,long,2021-01-27,2021-02-01,87.0936,84.2232,28,-0.03296,-80.37,max_hold,5
SLB,long,2021-01-28,2021-02-01,19.6603,20.2,126,0.02745,68.01,max_hold,4
MSFT,short,2021-01-28,2021-02-01,224.9623,230.6257,11,-0.02517,-62.3,max_hold,4
JNJ,short,2021-01-28,2021-02-01,144.2546,140.261,17,0.02768,67.89,max_hold,4
AMD,long,2021-01-29,2021-02-01,87.6038,88.4458,28,0.00961,23.58,max_hold,3
